p_val	avg_logFC	pct.1	pct.2	p_val_adj
GNLY	3.982694909904e-246	3.15921709711474	0.979	0.219	5.80477783118509e-242
ATP8B4	1.71236778484962e-177	2.01794075242148	0.813	0.041	2.49577604641832e-173
NCAM1	1.47962457257179e-163	1.96680202131333	0.701	0.017	2.15655281452339e-159
TYROBP	1.3465777020618e-130	1.40532571800572	0.85	0.081	1.96263700075507e-126
AK093552	3.42280410469167e-129	1.74541743203353	0.861	0.093	4.98873698258811e-125
PLCG2	6.43208119215531e-124	2.02244316778388	0.861	0.157	9.37475833756636e-120
HADV38S2	2.38713556600173e-122	1.69938241930409	0.872	0.118	3.47925008744752e-118
TRDC.NT-026437.11.3	4.2961685121875e-117	1.48082941678061	0.759	0.063	6.26166560651328e-113
LOC285972	1.5569036273591e-106	1.26026076835917	0.497	0.011	2.26918703687589e-102
KLRD1	1.39865712488998e-101	1.45214197575256	0.775	0.128	2.03854275952714e-97
AV4S1	1.22689717966473e-90	1.42446892968136	0.872	0.241	1.78820263936134e-86
NKG7	1.1860222373174e-89	1.37024283826633	0.947	0.498	1.72862741089011e-85
TRDC.NT-026437.11.2	9.87382875741759e-79	1.10884597143618	0.561	0.047	1.43911054139361e-74
CTSW	1.84635168834433e-75	1.12842538795388	0.872	0.424	2.69105758576186e-71
RIN3	4.09759590389914e-73	1.34982194331098	0.727	0.196	5.972246029933e-69
SH2D1B	4.94540902203976e-73	0.852113399536388	0.316	0.004	7.20793364962295e-69
KLRC1	7.99888280148405e-73	1.1958155861242	0.449	0.025	1.1658371683163e-68
GZMB	5.04960746425195e-70	1.67989669473142	0.791	0.262	7.35980287914722e-66
NCR1	1.7494595258945e-68	0.735261144978372	0.332	0.007	2.54983725899123e-64
FCER1G	3.55627296714082e-68	0.93003421166458	0.54	0.06	5.18326784960775e-64
CLNK	6.4093715122339e-62	1.00231490636763	0.348	0.014	9.34165897908091e-58
MCTP2	1.88523765293663e-61	1.14719920855656	0.754	0.239	2.74773387915514e-57
LINGO2	2.5704026812536e-60	1.87757715300984	0.332	0.015	3.74636190792713e-56
HAVCR2	5.4679383176442e-60	1.25309236016847	0.513	0.078	7.96952009796642e-56
NCALD	3.72504979393537e-58	1.15806077350128	0.818	0.325	5.42926007466081e-54
CD7	2.20441932054353e-57	1.03527029783002	0.797	0.396	3.2129411596922e-53
KLRF1	1.75513861381981e-55	0.929166038008026	0.396	0.029	2.55811452964238e-51
B3GNT7	2.24133510738788e-53	0.750247377826656	0.273	0.007	3.26674591901784e-49
CNOT2	6.02898559848078e-51	1.14515278907557	0.872	0.613	8.78724650978573e-47
CD63	1.1153254985684e-50	0.939003911668818	0.802	0.312	1.62558691416345e-46
AK096314	9.66252155989494e-50	0.839223146405834	0.968	0.544	1.40831251735469e-45
KLRK1	1.15533773997885e-48	0.822247214949153	0.968	0.539	1.68390475601917e-44
DOCK5	4.36665953759854e-48	1.09662530943018	0.535	0.1	6.36440627604988e-44
PRF1	7.60461134648691e-48	1.06033651528578	0.658	0.216	1.10837210375047e-43
GOLIM4	1.8766834917964e-45	0.773230157622704	0.358	0.037	2.73526618929326e-41
GAS7	6.99497876291935e-45	1.10026365233722	0.69	0.222	1.0195181546955e-40
APBA2	1.39441654210219e-42	1.02701144142594	0.572	0.147	2.03236211011394e-38
PRKX	2.5609135978815e-42	0.837511374986592	0.904	0.577	3.73253156891228e-38
